IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,268,5.20
34.89.248.224,443,443,true,FRA,Europe,Frankfurt,253,5.19
34.65.248.227,443,443,true,FRA,Europe,Frankfurt,251,5.19
34.90.106.152,443,443,true,FRA,Europe,Frankfurt,258,5.19
34.65.153.209,443,443,true,FRA,Europe,Frankfurt,257,5.19
34.65.230.239,443,443,true,FRA,Europe,Frankfurt,254,5.19
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,259,5.18
34.118.37.55,443,443,true,FRA,Europe,Frankfurt,267,5.18
34.65.204.227,443,443,true,FRA,Europe,Frankfurt,250,5.18
34.90.145.175,443,443,true,FRA,Europe,Frankfurt,264,5.18
34.118.113.53,443,443,true,FRA,Europe,Frankfurt,267,5.18
34.118.91.69,443,443,true,FRA,Europe,Frankfurt,269,5.17
34.154.79.93,443,443,true,FRA,Europe,Frankfurt,250,5.17
35.242.221.191,443,443,true,FRA,Europe,Frankfurt,259,5.17
34.65.138.124,443,443,true,FRA,Europe,Frankfurt,253,5.17
34.159.108.9,443,443,true,FRA,Europe,Frankfurt,267,5.16
34.91.234.55,443,443,true,FRA,Europe,Frankfurt,259,5.16
34.65.87.138,443,443,true,FRA,Europe,Frankfurt,259,5.16
35.204.178.160,443,443,true,FRA,Europe,Frankfurt,259,5.16
34.65.237.96,443,443,true,FRA,Europe,Frankfurt,261,5.15
34.91.36.200,443,443,true,FRA,Europe,Frankfurt,259,5.15
34.118.75.84,443,443,true,FRA,Europe,Frankfurt,275,5.15
34.147.33.246,443,443,true,FRA,Europe,Frankfurt,258,5.15
34.116.224.139,443,443,true,FRA,Europe,Frankfurt,268,5.15
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,257,5.14
34.118.69.245,443,443,true,FRA,Europe,Frankfurt,330,5.14
34.154.69.105,443,443,true,FRA,Europe,Frankfurt,257,5.14
34.154.152.177,443,443,true,FRA,Europe,Frankfurt,250,5.14
34.154.48.11,443,443,true,FRA,Europe,Frankfurt,250,5.13
34.118.20.0,443,443,true,FRA,Europe,Frankfurt,272,5.13
34.89.241.152,443,443,true,FRA,Europe,Frankfurt,250,5.13
35.234.90.172,443,443,true,FRA,Europe,Frankfurt,253,5.13
34.65.50.248,443,443,true,FRA,Europe,Frankfurt,309,5.12
34.118.122.183,443,443,true,FRA,Europe,Frankfurt,267,5.12
34.65.138.124,443,443,true,FRA,Europe,Frankfurt,254,5.12
34.90.144.241,443,443,true,FRA,Europe,Frankfurt,295,5.12
34.65.41.120,443,443,true,FRA,Europe,Frankfurt,251,5.12
34.154.43.155,443,443,true,FRA,Europe,Frankfurt,250,5.12
34.154.113.244,443,443,true,FRA,Europe,Frankfurt,258,5.12
34.65.87.138,443,443,true,FRA,Europe,Frankfurt,256,5.12
34.90.145.46,443,443,true,FRA,Europe,Frankfurt,258,5.12
34.90.145.175,443,443,true,FRA,Europe,Frankfurt,372,5.11
34.90.145.46,443,443,true,FRA,Europe,Frankfurt,258,5.11
34.91.36.200,443,443,true,FRA,Europe,Frankfurt,257,5.11
34.91.75.60,443,443,true,FRA,Europe,Frankfurt,264,5.10
34.65.143.167,443,443,true,FRA,Europe,Frankfurt,250,5.10
34.65.154.40,443,443,true,FRA,Europe,Frankfurt,259,5.10
34.118.53.102,443,443,true,FRA,Europe,Frankfurt,317,5.10
34.118.113.53,443,443,true,FRA,Europe,Frankfurt,267,5.10
34.34.73.245,443,443,true,FRA,Europe,Frankfurt,258,5.09
34.65.202.238,443,443,true,FRA,Europe,Frankfurt,251,5.09
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,254,5.09
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,258,5.09
34.154.85.251,443,443,true,FRA,Europe,Frankfurt,290,5.08
34.65.84.112,443,443,true,FRA,Europe,Frankfurt,251,5.08
34.65.249.244,443,443,true,FRA,Europe,Frankfurt,250,5.07
35.204.159.93,443,443,true,FRA,Europe,Frankfurt,260,5.07
34.118.106.198,443,443,true,FRA,Europe,Frankfurt,272,5.07
34.65.209.36,443,443,true,FRA,Europe,Frankfurt,254,5.07
34.65.223.180,443,443,true,FRA,Europe,Frankfurt,257,5.06
34.118.36.53,443,443,true,FRA,Europe,Frankfurt,297,5.06
35.234.108.163,443,443,true,FRA,Europe,Frankfurt,257,5.06
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,252,5.06
34.32.166.130,443,443,true,FRA,Europe,Frankfurt,262,5.06
34.32.166.130,443,443,true,FRA,Europe,Frankfurt,283,5.05
34.147.37.170,443,443,true,FRA,Europe,Frankfurt,257,5.05
34.141.71.224,443,443,true,FRA,Europe,Frankfurt,256,5.05
34.154.105.38,443,443,true,FRA,Europe,Frankfurt,313,5.05
34.65.248.227,443,443,true,FRA,Europe,Frankfurt,250,5.04
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,264,5.04
34.118.105.120,443,443,true,FRA,Europe,Frankfurt,269,5.04
34.91.36.200,443,443,true,FRA,Europe,Frankfurt,264,5.04
34.118.78.73,443,443,true,FRA,Europe,Frankfurt,269,5.04
34.65.125.9,443,443,true,FRA,Europe,Frankfurt,252,5.03
34.65.41.120,443,443,true,FRA,Europe,Frankfurt,250,5.03
34.116.141.211,443,443,true,AMS,Europe,Amsterdam,270,5.03
34.65.150.145,443,443,true,FRA,Europe,Frankfurt,252,5.03
34.90.144.241,443,443,true,FRA,Europe,Frankfurt,259,5.03
35.242.226.209,443,443,true,FRA,Europe,Frankfurt,285,5.02
34.65.208.58,443,443,true,FRA,Europe,Frankfurt,257,5.02
34.90.106.152,443,443,true,FRA,Europe,Frankfurt,260,5.02
34.116.195.145,443,443,true,FRA,Europe,Frankfurt,312,5.02
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,251,5.02
34.67.45.105,443,443,true,ORD,North America,Chicago,219,5.02
34.154.11.70,443,443,true,FRA,Europe,Frankfurt,250,5.02
35.204.18.118,443,443,true,FRA,Europe,Frankfurt,259,5.02
34.147.18.239,443,443,true,FRA,Europe,Frankfurt,264,5.02
34.65.23.97,443,443,true,FRA,Europe,Frankfurt,264,5.02
34.118.74.157,443,443,true,FRA,Europe,Frankfurt,273,5.01
34.116.222.237,443,443,true,FRA,Europe,Frankfurt,267,5.01
34.32.212.53,443,443,true,FRA,Europe,Frankfurt,264,5.01
34.65.151.75,443,443,true,FRA,Europe,Frankfurt,254,5.00
34.65.134.234,443,443,true,FRA,Europe,Frankfurt,257,5.00
34.65.41.59,443,443,true,FRA,Europe,Frankfurt,250,5.00
34.65.196.70,443,443,true,FRA,Europe,Frankfurt,254,5.00
34.118.105.92,443,443,true,FRA,Europe,Frankfurt,269,5.00
34.154.129.158,443,443,true,FRA,Europe,Frankfurt,303,5.00
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,257,5.00
34.118.8.60,443,443,true,FRA,Europe,Frankfurt,279,5.00
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,259,5.00
34.65.209.36,443,443,true,FRA,Europe,Frankfurt,252,5.00
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,256,4.99
35.246.175.160,443,443,true,FRA,Europe,Frankfurt,271,4.99
35.234.85.36,443,443,true,FRA,Europe,Frankfurt,256,4.99
34.116.174.240,443,443,true,FRA,Europe,Frankfurt,312,4.99
34.154.111.198,443,443,true,FRA,Europe,Frankfurt,270,4.99
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,250,4.99
34.147.33.246,443,443,true,FRA,Europe,Frankfurt,271,4.99
34.91.110.191,443,443,true,FRA,Europe,Frankfurt,263,4.98
34.90.91.229,443,443,true,FRA,Europe,Frankfurt,260,4.98
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,266,4.98
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,272,4.98
34.118.122.183,443,443,true,FRA,Europe,Frankfurt,266,4.97
34.154.119.138,443,443,true,FRA,Europe,Frankfurt,255,4.97
34.118.78.73,443,443,true,FRA,Europe,Frankfurt,275,4.97
34.65.192.54,443,443,true,FRA,Europe,Frankfurt,255,4.97
34.65.50.248,443,443,true,FRA,Europe,Frankfurt,251,4.96
35.234.70.163,443,443,true,FRA,Europe,Frankfurt,251,4.96
34.154.67.246,443,443,true,FRA,Europe,Frankfurt,304,4.96
34.154.199.45,443,443,true,FRA,Europe,Frankfurt,257,4.96
34.154.114.64,443,443,true,FRA,Europe,Frankfurt,253,4.95
34.65.229.235,443,443,true,FRA,Europe,Frankfurt,251,4.95
34.118.99.110,443,443,true,FRA,Europe,Frankfurt,269,4.94
34.118.89.229,443,443,true,FRA,Europe,Frankfurt,274,4.94
34.154.101.92,443,443,true,FRA,Europe,Frankfurt,255,4.94
34.65.143.167,443,443,true,FRA,Europe,Frankfurt,257,4.93
34.159.84.32,443,443,true,FRA,Europe,Frankfurt,267,4.93
34.65.209.36,443,443,true,FRA,Europe,Frankfurt,260,4.93
34.65.7.101,443,443,true,FRA,Europe,Frankfurt,257,4.93
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,264,4.93
34.118.116.97,443,443,true,FRA,Europe,Frankfurt,277,4.93
34.65.187.42,443,443,true,FRA,Europe,Frankfurt,253,4.92
34.65.63.65,443,443,true,FRA,Europe,Frankfurt,254,4.91
34.118.36.53,443,443,true,FRA,Europe,Frankfurt,267,4.90
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,293,4.88
34.65.194.209,443,443,true,FRA,Europe,Frankfurt,251,4.88
34.90.145.175,443,443,true,FRA,Europe,Frankfurt,257,4.88
34.154.142.89,443,443,true,FRA,Europe,Frankfurt,257,4.88
34.65.151.75,443,443,true,FRA,Europe,Frankfurt,250,4.88
34.107.3.188,443,443,true,FRA,Europe,Frankfurt,318,4.87
34.89.248.224,443,443,true,FRA,Europe,Frankfurt,251,4.87
34.118.11.255,443,443,true,FRA,Europe,Frankfurt,266,4.87
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,253,4.87
34.147.4.61,443,443,true,FRA,Europe,Frankfurt,265,4.87
34.154.102.110,443,443,true,FRA,Europe,Frankfurt,250,4.86
34.89.248.224,443,443,true,FRA,Europe,Frankfurt,253,4.86
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,265,4.86
34.65.187.42,443,443,true,FRA,Europe,Frankfurt,250,4.86
34.116.147.75,443,443,true,FRA,Europe,Frankfurt,276,4.86
34.65.54.201,443,443,true,FRA,Europe,Frankfurt,253,4.86
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,259,4.85
34.65.231.140,443,443,true,FRA,Europe,Frankfurt,253,4.85
34.141.210.184,443,443,true,FRA,Europe,Frankfurt,257,4.84
34.90.94.175,443,443,true,FRA,Europe,Frankfurt,264,4.84
34.65.134.234,443,443,true,FRA,Europe,Frankfurt,252,4.84
34.116.255.53,443,443,true,FRA,Europe,Frankfurt,268,4.84
34.91.29.106,443,443,true,FRA,Europe,Frankfurt,264,4.84
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,254,4.84
34.154.45.253,443,443,true,FRA,Europe,Frankfurt,267,4.84
34.118.102.66,443,443,true,FRA,Europe,Frankfurt,266,4.83
34.118.31.28,443,443,true,FRA,Europe,Frankfurt,274,4.82
34.90.94.175,443,443,true,FRA,Europe,Frankfurt,258,4.82
35.204.220.58,443,443,true,FRA,Europe,Frankfurt,265,4.82
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,256,4.82
34.65.208.58,443,443,true,FRA,Europe,Frankfurt,251,4.82
35.204.157.62,443,443,true,FRA,Europe,Frankfurt,256,4.82
34.116.225.173,443,443,true,FRA,Europe,Frankfurt,276,4.81
34.90.192.112,443,443,true,FRA,Europe,Frankfurt,264,4.81
34.65.87.96,443,443,true,FRA,Europe,Frankfurt,259,4.81
34.65.67.185,443,443,true,FRA,Europe,Frankfurt,251,4.81
34.89.181.9,443,443,true,FRA,Europe,Frankfurt,249,4.81
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,257,4.80
34.107.5.109,443,443,true,FRA,Europe,Frankfurt,250,4.80
34.154.107.8,443,443,true,FRA,Europe,Frankfurt,255,4.80
34.65.174.22,443,443,true,FRA,Europe,Frankfurt,249,4.80
34.116.185.16,443,443,true,FRA,Europe,Frankfurt,296,4.80
34.90.91.229,443,443,true,FRA,Europe,Frankfurt,258,4.80
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,251,4.80
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,252,4.79
34.118.36.2,443,443,true,FRA,Europe,Frankfurt,269,4.79
34.118.125.53,443,443,true,FRA,Europe,Frankfurt,269,4.78
34.154.12.126,443,443,true,FRA,Europe,Frankfurt,250,4.78
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,282,4.78
34.65.142.86,443,443,true,FRA,Europe,Frankfurt,258,4.78
34.154.92.11,443,443,true,FRA,Europe,Frankfurt,251,4.78
34.118.105.161,443,443,true,FRA,Europe,Frankfurt,268,4.78
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,322,4.77
34.34.73.245,443,443,true,FRA,Europe,Frankfurt,257,4.77
34.107.25.251,443,443,true,FRA,Europe,Frankfurt,259,4.77
35.204.195.94,443,443,true,FRA,Europe,Frankfurt,260,4.77
34.91.110.191,443,443,true,FRA,Europe,Frankfurt,266,4.77
34.91.234.55,443,443,true,FRA,Europe,Frankfurt,260,4.77
34.118.121.202,443,443,true,FRA,Europe,Frankfurt,267,4.77
34.116.203.209,443,443,true,FRA,Europe,Frankfurt,268,4.76
34.89.203.75,443,443,true,FRA,Europe,Frankfurt,261,4.76
34.90.144.241,443,443,true,FRA,Europe,Frankfurt,272,4.76
34.118.25.79,443,443,true,FRA,Europe,Frankfurt,273,4.76
34.65.110.208,443,443,true,FRA,Europe,Frankfurt,250,4.76
34.118.53.102,443,443,true,FRA,Europe,Frankfurt,274,4.76
34.107.5.109,443,443,true,FRA,Europe,Frankfurt,310,4.76
34.118.20.128,443,443,true,FRA,Europe,Frankfurt,268,4.75
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,257,4.75
34.90.192.112,443,443,true,FRA,Europe,Frankfurt,265,4.75
34.91.206.56,443,443,true,FRA,Europe,Frankfurt,263,4.74
34.89.153.165,443,443,true,FRA,Europe,Frankfurt,258,4.74
34.65.137.148,443,443,true,FRA,Europe,Frankfurt,250,4.74
